cod,economy,region,incomegroup,dbyear,startbuscapital,investorsdisclosure,investorsliability,investorssuitsOld,investorstransparency,investorsrights,investorsownership,investorssuits,investorsProtectingInv,investorsProtectingMinInves,closinglegal,closing_SI_Commencement,closing_SI_ManagementAssets,closing_SI_Reorganization,closing_SI_CreditorParticipate,startbusprocedures,startbustime,startbuscost,startbusproceduresW,startbustimeW,startbuscostW,permitprocedures,permittime,permitcostWhV,permitsLegalindex,permits_SI_Buildregulation,permits_SI_Beforeconstr,permits_SI_Duringconst,permits_SI_Afterconst,permits_SI_Liability,permits_SI_Certifications,electricityprocedures,electricitytime,electricitycost,electricitySAIDISAIFIscore,electricityPriceperkWhUSD,electricitySaidiSaifiPoints,electricitySaidiIndex,electricitySaifiIndex,electricityMinimumOutage,electricityOutagemoniscore,electricityOutagerestoscore,electricityRegulatormoniscore,electricityCompensationscore,electricityTransparencyscore,registerprocedures,registertime,registercost,registerLegalindexGener,registerReliabilityInfrast,registerTransparency,registerCoverage,registerLegalBackground,registerWEBEqualAccess,creditrights,creditrights_new,creditinformation6pnt,creditinformation6pnt5pr,creditinformation8pnt5pr,creditinformationCoverPublic,creditinformationCoverPrivate,tradeprocedures,tradeXtimedocs,tradeMtimedocs,tradeXtimeborder,tradeMtimeborder,tradeXcostdocs,tradeMcostdocs,tradeXcostborder,tradeMcostborder,tradingexportdocs,tradingimportdocs,tradingexportcost,tradingexportcost_def,tradingexporttime,tradingimportcost,tradingimportcost_def,tradingimporttime,contracts_filing_days,contracts_trial_days,contracts_enforcement_days,contracts_attorney_fee,contracts_court_fee,contracts_enforcement_fee,contractsproceduresBunus,contractstime,contractscost,contractsLegalindexGender,contracts_SI_CourtStructureGen,contracts_SI_CaseManagement,contracts_SI_CourtAutomation,contracts_SI_ADR,closingtime_web,closingtime,closingrecovery,closingcostpercentage,closingOutcome,taxesTimeComplyVATrefund,taxesTimeObtainVATrefund,taxesTimeComplyCITaudit,taxesTimeCompleteCITaudit,taxespayments,taxestime,taxestotal,taxesTTRprofit,taxesTTRlabor,taxesTTROther
AFG,Afghanistan,South Asia,Low income,2004,0,,,,,,,,,,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,South Asia,Low income,2005,0,,,,,,,,,,0,2,0,0,1,4,9,72.0143462244898,5,10,72.0143462244898,,,,,,,,,,,,,,,,,,,,,,,,,11,252,7,,,,,,,1,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,47,1642,29,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,,,,,,
AFG,Afghanistan,South Asia,Low income,2006,0,1,1,1,,,,,3,,0,2,0,0,1,4,9,75.210960987416,5,10,75.210960987416,13,358,166.482679811534,,,,,,,,,,,,,,,,,,,,,,11,252,7.00000000000001,,,,,,,1,,0,0,,0,0,,,,,,,,,,10,10,2180,4313.03962456771,67,2100,4154.76294109733,80,,,,,,,47,1642,29,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,16,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2007,0,1,1,1,,,,,3,,0,2,0,0,1,4,9,67.4074074074074,5,10,67.4074074074074,13,358,154.136302812614,,,,,,,,,,,,,,,,,,,,,,11,252,7,,,,,,,1,,0,0,,0,0,,,,,,,,,,10,10,2180,3889.11387075654,67,2100,3746.39409568291,71,,,,,,,47,1642,29,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,16,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2008,0,1,1,1,,,,,3,,3,2,0,0,1,5,10,84.62462647484671,6,11,84.62462647484691,13,358,160.077477588491,,,,,,,,,,,,,,,,,,,,,,9,250,7,,,,,,,1,,0,0,,0,0,,,,,,,,,,10,10,2180,3628.87586414687,67,2100,3495.70610766442,71,,,,,,,47,1642,29,,,,,,2,2,25.1492411658386,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2009,0,1,1,1,,,,,3,,3,2,0,0,1,5,10,59.4594594594595,6,11,59.4594594594595,13,358,112.486486486486,,,,,,,,,,,,,,,,,,,,,,9,250,7,,,,,,,1,,0,0,,0,0,,,,,,,,,,10,10,2680,3645.29634355014,74,2600,3536.48152732476,77,,,,,,,47,1642,29,,,,,,2,2,24.3055555555556,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2010,0,1,1,1,,,,,3,,3,2,0,0,1,5,9,30.2050103429472,6,10,30.2050103429472,13,358,97.0937536570292,,,,,,,,4,424,618.240185145438,,,,,,,,,,,,9,250,4,,,,,,,6,,0,0,,0,0,,,,,,,,,,10,10,3030,4033.46578542761,74,3000,3993.53048062139,77,,,,,,,47,1642,29,,,,,,2,2,24.3055555555556,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2011,0,1,1,1,,,,,3,,3,2,0,0,1,5,9,26.7146046671009,6,10,26.7146046671009,13,358,85.6171749406476,,,,,,,,5,196,6179.65855535053,,,,,,,,,,,,9,250,5,,,,,,,6,,0,0,,0,0,,,,,,,,,,10,10,3545,4820.597618121639,74,3830,5208.14918967726,77,,,,,,,47,1642,29,,,,,,2,2,26.0107015457788,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2012,0,1,1,1,,,,,3,,3,2,0,0,1,5,9,25.7775276475878,6,10,25.7775276475878,13,358,80.5281997519383,,,,,,,,6,114,2917.83774019083,,,,,,,,,,,,9,250,5,,,,,,,6,,0,0,,0,0,,,,,,,,,,10,10,3545,4404.87580611091,74,3830,4759.00545483915,77,40,1420,182,24.0010311354357,5,0,47,1642,29,,,,,,2,2,26.4650283553875,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
AFG,Afghanistan,South Asia,Low income,2013,0,1,1,1,,,,,3,,3,2,0,0,1,5,9,22.4798545389586,6,10,22.4798545389586,13,358,71.15560443796861,,,,,,,,6,114,2550.72871034296,,,,,,,,,,,,9,250,5,,,,,,,6,,0,0,,0,0,,,,,,,,,,10,10,3545,3984.10852059767,74,3830,4304.410616047699,77,40,1420,182,24,5,0,47,1642,29,,,,,,2,2,26.3980343677921,25,0,,,,,19,275,35.84041781141918,0,0,35.8404178114192
