year,pop,lnpop,gL
-1000000,0.125,-2.079441542,2.97E-06
-300000,1,0,4.39E-06
-25000,3.34,1.205970807,1.20E-05
-10000,4,1.386294361,4.46E-05
-5000,5,1.609437912,3.36E-04
-4000,7,1.945910149,6.93E-04
-3000,14,2.63905733,6.57E-04
-2000,27,3.295836866,6.16E-04
-1000,50,3.912023005,1.39E-03
-500,100,4.605170186,1.35E-03
-200,150,5.010635294,6.23E-04
1,170,5.135798437,5.59E-04
200,190,5.247024072,0.00E+00
400,190,5.247024072,2.56E-04
600,200,5.298317367,4.77E-04
800,220,5.393627546,9.31E-04
1000,265,5.579729826,1.89E-03
1100,320,5.768320996,1.18E-03
1200,360,5.886104031,0.00E+00
1300,360,5.886104031,-2.82E-04
1400,350,5.857933154,1.94E-03
1500,425,6.052089169,2.49E-03
1600,545,6.300785795,0.00E+00
1650,545,6.300785795,2.25E-03
1700,610,6.413458957,3.32E-03
1750,720,6.579251212,4.46E-03
1800,900,6.802394763,5.75E-03
1850,1200,7.090076836,3.96E-03
1875,1325,7.189167738,8.16E-03
1900,1625,7.393263095,5.47E-03
1920,1813,7.502738211,9.16E-03
1930,1987,7.594381243,1.08E-02
1940,2213,7.70210434,1.28E-02
1950,2516,7.830425618,1.82E-02
1960,3019,8.01268093,2.02E-02
1970,3693,8.214194415,1.86E-02
1980,4450,8.400659375,1.81E-02
1990,5333,8.581669211,1.30E-02
2000,6071,8.711278615,1.37E-02
2010,6960,8.847934753,1.13E-02
2020,7790,8.960596139,
