year,gdppc,pop
1,467,225820
1000,453,267330
1500,566,438428
1600,596,556148
1700,615,603490
1820,666,1041708
1870,870,1275732
1900,1261,1563464
1913,1524,1792925
1940,1958,2299193
1950,2111,2527960
1951,2197,2571663
1952,2258,2617949
1953,2329,2665959
1954,2363,2716927
1955,2467,2769074
1956,2534,2822502
1957,2578,2879934
1958,2607,2939254
1959,2675,2995909
1960,2773,3041507
1961,2831,3082161
1962,2914,3135787
1963,2978,3201354
1964,3130,3266477
1965,3228,3333138
1966,3335,3402224
1967,3390,3471464
1968,3505,3543086
1969,3624,3615743
1970,3729,3691157
1971,3803,3769818
1972,3904,3846499
1973,4083,3922793
1974,4099,3997677
1975,4087,4070671
1976,4213,4141445
1977,4309,4213539
1978,4422,4286317
1979,4500,4363144
1980,4512,4439529
1981,4523,4514838
1982,4501,4587307
1983,4541,4676388
1984,4668,4756521
1985,4748,4837719
1986,4833,4920968
1987,4932,5006672
1988,5056,5093306
1989,5130,5180540
1990,5150,5269029
1991,5137,5351922
1992,5165,5435722
1993,5200,5518127
1994,5304,5599396
1995,5446,5681575
1996,5552,5762212
1997,5690,5842122
1998,5709,5921366
1999,5833,5999622
2000,6038,6076558
2001,6132,6154791
2002,6262,6231704
2003,6469,6308364
2004,6738,6374056
2005,6960,6462987
2006,7238,6540214
2007,7468,6616689
2008,7614,6694832
,,
