"","COUNTRY","SECTPERF","FUNCTION","GENDER","MEASURE","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue","OBS_STATUS"
"1","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1981",44532,NA
"2","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1984",51256,NA
"3","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1985",53259,NA
"4","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1986",60079,NA
"5","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1987",62702,NA
"6","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1988",65926,NA
"7","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1990",69048,NA
"8","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1992",79510,NA
"9","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1994",86882.9,NA
"10","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1996",90691.51,NA
"11","AUS","_T","_T","_T","FTE","P1Y","FTE","0","1998",91583.4,NA
"12","AUS","_T","_T","_T","FTE","P1Y","FTE","0","2000",95620.6,NA
"13","AUS","_T","_T","_T","FTE","P1Y","FTE","0","2002",107209,NA
"14","AUS","_T","_T","_T","FTE","P1Y","FTE","0","2004",116194.2,NA
"15","AUS","_T","_T","_T","FTE","P1Y","FTE","0","2006",126701.8,NA
"16","AUS","_T","_T","_T","FTE","P1Y","FTE","0","2008",137488.7,NA
"17","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1981",7923,NA
"18","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1984",12563,NA
"19","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1985",14784,NA
"20","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1986",17592,NA
"21","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1987",18738,NA
"22","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1988",20803,NA
"23","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1989",20636,NA
"24","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1990",21025,NA
"25","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1991",21299,NA
"26","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1992",22919,NA
"27","AUS","BES","_T","_T","FTE","P1Y","FTE","0","1993",23742,NA
