countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,190.088493,104.832028,46.397118,329.084418,303.871063,353.74688,273.1902910200155,119.4332994530026,69.1153567901635,445.736416478461,391.1847123063451,468.555155833344,.059063,1.79,1.79,103.706505,111.510397589277,,
ABW,1971,200.221731,110.42043,48.870444,346.627254,320.069766,372.604474,298.0191101683718,130.2879761743942,75.39689974411934,486.2470897906933,426.7374403866579,511.1396681375555,.05944,1.79,1.79,109.234925,121.6449985625422,,
ABW,1972,210.895206,116.306757,51.475666,365.105375,337.132239,392.467331,325.1045217523513,142.1291793625367,82.24931347434872,530.4395499066105,465.5213606340204,557.5945066225314,.05984,1.79,1.79,115.058025,132.7006849373107,,
ABW,1973,222.137686,122.50682,54.219742,384.5685,355.104176,413.389041,354.6516538883124,155.0465232808627,89.72452675592849,578.6484616862215,507.8302181070502,608.2713500818851,.060243,1.79,1.79,121.191526,144.7611240071615,,
ABW,1974,233.97926,129.037449,57.109995,405.068867,374.033561,435.426048,386.8839760741441,169.1379378367098,97.87917898215521,631.2387622363507,553.9842685253963,663.5539706056818,.060528,1.79,1.79,127.652126,157.9177563344494,,
ABW,1975,246.452484,135.91628,60.154626,426.662811,393.973659,458.637808,422.0458057969064,184.5100497939526,106.7747963881229,688.6087661289056,604.3328511633741,723.8609297433534,.060657,1.79,1.79,134.456907,172.2701162828956,,
ABW,1976,259.590533,143.161498,63.361268,449.407329,414.975314,483.086944,460.4038130090237,201.2789609767484,116.4790642179576,751.1930811340585,659.2578855117039,789.6488572652465,.060586,1.79,1.79,141.624463,187.9266263348487,,
ABW,1977,273.427835,150.793381,66.738456,473.363029,437.094107,508.839417,502.2467243967061,219.5725258214569,127.0654781896091,819.4646463841614,719.1741982148105,861.4159731378097,.060366,1.79,1.79,149.174794,205.0066292717811,,
ABW,1978,288.005448,158.832222,70.29748099999999,498.600336,460.401814,535.964707,547.8934211887452,239.5284380431625,138.6130448775521,893.9415009554372,784.5352121189967,939.7055745631142,.060103,1.79,1.79,157.126089,223.6387245243153,,
ABW,1979,303.358245,167.297899,74.043739,525.177643,484.939418,564.535997,597.6909983059772,261.2963851926078,151.2116800077202,975.188770730397,855.8404449039563,1025.110496168053,.05998,1.79,1.79,165.502197,243.9626358885527,,
